"","infiltrate"
"X1_6_11","Inf1"
"X1_7_12","Inf1"
"X1_7_13","Inf1"
"X1_9_24","Inf10"
"X1_11_24","Inf11"
"X1_12_24","Inf11"
"X1_12_25","Inf11"
"X1_16_23","Inf12"
"X1_17_24","Inf13"
"X1_18_24","Inf13"
"X1_17_25","Inf13"
"X1_16_25","Inf13"
"X1_16_27","Inf14"
"X1_18_28","Inf14"
"X1_17_28","Inf14"
"X1_16_28","Inf14"
"X1_19_28","Inf15"
"X1_23_21","Inf16"
"X1_22_22","Inf16"
"X1_23_22","Inf16"
"X1_22_23","Inf17"
"X1_25_20","Inf18"
"X1_25_14","Inf19"
"X1_26_15","Inf19"
"X1_4_14","Inf2"
"X1_5_14","Inf2"
"X1_5_15","Inf3"
"X1_5_16","Inf3"
"X1_5_19","Inf4"
"X1_11_12","Inf5"
"X1_13_13","Inf6"
"X1_11_15","Inf7"
"X1_11_17","Inf8"
"X1_11_18","Inf8"
"X1_10_20","Inf9"
